Time,Date,Name,Coin_Name,Code,Volume,Bid_Total,Ask_Total,Depth,Hour,Day,Month_Number,Month_Name,Year
14:50:28,2024-07-15,OrangeX,BTC,orangex,51264.90644013034,1145.8060559132912,1166.3584913504912,2312.1645472637824,14,15,7,July,2024
14:57:13,2024-07-15,OrangeX,BTC,orangex,51426.62111189744,1074.7139112080565,1093.7095480407513,2168.423459248808,14,15,7,July,2024
14:59:25,2024-07-15,OrangeX,BTC,orangex,51448.72173979137,1075.9433838423631,1161.087072255984,2237.0304560983473,14,15,7,July,2024
15:01:47,2024-07-15,OrangeX,ETH,orangex,962875.0482905713,21413.658124987338,22923.309370514016,44336.967495501354,15,15,7,July,2024
15:02:35,2024-07-15,OrangeX,BNB,orangex,5647732.930126846,122996.82475409427,133391.23950808158,256388.06426217585,15,15,7,July,2024
15:02:58,2024-07-15,OrangeX,ADA,orangex,7486131978.860332,165436746.48014605,176514012.41632304,341950758.8964691,15,15,7,July,2024
15:03:20,2024-07-15,OrangeX,DOGE,orangex,27029403577.678444,583799378.6141092,610020240.7246563,1193819619.3387654,15,15,7,July,2024
15:03:54,2024-07-15,OrangeX,SOL,orangex,21001132.79860533,454544.099000366,474422.6168505046,928966.7158508707,15,15,7,July,2024
15:04:30,2024-07-15,OrangeX,USDT,orangex,3268602446.8835006,68335484.18653901,72512948.78277802,140848432.96931702,15,15,7,July,2024
15:04:56,2024-07-15,OrangeX,TONCOIN,orangex,434333081.5733207,9090116.151298039,9665606.594099745,18755722.745397788,15,15,7,July,2024
15:05:16,2024-07-15,OrangeX,USDC,orangex,3274149512.864274,68480584.30870555,72916881.78546043,141397466.09416598,15,15,7,July,2024
15:06:51,2024-07-15,OrangeX,XRP,orangex,6129837828.720458,127980968.40851773,136376939.93123078,264357908.33974853,15,15,7,July,2024
15:10:47,2024-07-15,OrangeX,BTC,orangex,51727.20141914606,1028.0901379305092,1161.9833102197863,2190.0734481502955,15,15,7,July,2024
15:10:49,2024-07-15,OrangeX,ETH,orangex,967979.2317738819,19238.811971372787,21744.375900922063,40983.187872294846,15,15,7,July,2024
15:10:52,2024-07-15,OrangeX,BNB,orangex,5680677.369357221,112904.78162306894,127608.9197335374,240513.70135660633,15,15,7,July,2024
15:10:55,2024-07-15,OrangeX,ADA,orangex,7507726291.689585,149217803.14816573,168651162.4310025,317868965.5791682,15,15,7,July,2024
15:10:57,2024-07-15,OrangeX,DOGE,orangex,27094520783.26505,538509891.2178471,608642649.9946702,1147152541.2125173,15,15,7,July,2024
15:11:00,2024-07-15,OrangeX,SOL,orangex,21100191.032464337,419371.19569157757,473987.9434710295,893359.139162607,15,15,7,July,2024
15:11:03,2024-07-15,OrangeX,USDT,orangex,3285535227.4591746,65300775.46247837,73805212.62906852,139105988.0915469,15,15,7,July,2024
15:11:05,2024-07-15,OrangeX,TONCOIN,orangex,436384671.950253,8673246.67230184,9802805.714021198,18476052.38632304,15,15,7,July,2024
15:11:08,2024-07-15,OrangeX,USDC,orangex,3290955742.466116,65408509.45674543,73926977.34469318,139335486.8014386,15,15,7,July,2024
15:11:10,2024-07-15,OrangeX,XRP,orangex,6150915488.675242,122250873.42170443,138172198.46282962,260423071.88453406,15,15,7,July,2024
15:11:22,2024-07-15,OrangeX,BTC,orangex,51712.851477744276,1026.6579315524011,1162.5783251027763,2189.2362566551774,15,15,7,July,2024
15:11:24,2024-07-15,OrangeX,ETH,orangex,967745.8693142977,19212.7091055149,21756.301184759628,40969.01029027453,15,15,7,July,2024
15:11:27,2024-07-15,OrangeX,BNB,orangex,5679867.21157134,112762.69933468572,127691.4794086853,240454.17874337104,15,15,7,July,2024
15:11:29,2024-07-15,OrangeX,ADA,orangex,7507563965.840279,149048058.11151397,168780697.47836056,317828755.58987457,15,15,7,July,2024
15:11:32,2024-07-15,OrangeX,DOGE,orangex,27085660784.706833,537733033.111213,608924111.6966537,1146657144.8078668,15,15,7,July,2024
15:11:35,2024-07-15,OrangeX,SOL,orangex,21098185.73345362,418863.37932724477,474317.17129855184,893180.5506257965,15,15,7,July,2024
15:11:37,2024-07-15,OrangeX,USDT,orangex,3285032160.2684507,65217914.43265887,73852187.17705567,139070101.60971454,15,15,7,July,2024
15:11:40,2024-07-15,OrangeX,TONCOIN,orangex,436331444.2127967,8662510.868880864,9809350.385965524,18471861.254846387,15,15,7,July,2024
15:11:42,2024-07-15,OrangeX,USDC,orangex,3294214977.4677896,65350486.01511445,74003697.61061053,139354183.62572497,15,15,7,July,2024
15:11:45,2024-07-15,OrangeX,XRP,orangex,6158402317.511458,122170103.4324546,138346934.24286613,260517037.67532074,15,15,7,July,2024
15:11:56,2024-07-15,OrangeX,BTC,orangex,51756.630338297844,1028.0455195250872,1159.432865445302,2187.4783849703895,15,15,7,July,2024
15:11:59,2024-07-15,OrangeX,ETH,orangex,968626.1823482595,19239.888693467972,21698.80501888796,40938.69371235593,15,15,7,July,2024
15:12:01,2024-07-15,OrangeX,BNB,orangex,5685214.945203699,112925.81672630477,127358.07975722179,240283.89648352657,15,15,7,July,2024
15:12:04,2024-07-15,OrangeX,ADA,orangex,7514665571.774203,149264320.75071537,168340755.1804669,317605075.9311823,15,15,7,July,2024
15:12:06,2024-07-15,OrangeX,DOGE,orangex,27109691182.821487,538481666.4848775,607301262.1568918,1145782928.6417694,15,15,7,July,2024
15:12:09,2024-07-15,OrangeX,SOL,orangex,21113192.209720396,419707.4434049597,473010.3496695539,892717.7930745137,15,15,7,July,2024
15:12:12,2024-07-15,OrangeX,USDT,orangex,3287720168.9439425,65356323.81081128,73656586.42617993,139012910.23699123,15,15,7,July,2024
15:12:15,2024-07-15,OrangeX,TONCOIN,orangex,436672478.69794196,8680576.950142164,9783011.483450126,18463588.43359229,15,15,7,July,2024
15:12:17,2024-07-15,OrangeX,USDC,orangex,3293440399.4656477,65470035.811540686,73784739.86751583,139254775.67905653,15,15,7,July,2024
15:12:20,2024-07-15,OrangeX,XRP,orangex,6156727146.244045,122389081.88892114,137932513.06281254,260321594.9517337,15,15,7,July,2024
15:12:31,2024-07-15,OrangeX,BTC,orangex,51799.7363470183,1032.7049376457057,1161.7017931344753,2194.406730780181,15,15,7,July,2024
15:12:33,2024-07-15,OrangeX,ETH,orangex,969348.6738201632,19325.410365954922,21739.378845588075,41064.789211543,15,15,7,July,2024
15:12:36,2024-07-15,OrangeX,BNB,orangex,5691299.871488963,113474.21265664339,127648.46134876396,241122.67400540737,15,15,7,July,2024
15:12:39,2024-07-15,OrangeX,ADA,orangex,7521033895.553461,149955795.5006468,168687018.1149198,318642813.6155667,15,15,7,July,2024
15:12:42,2024-07-15,OrangeX,DOGE,orangex,27139313130.971222,541108755.313814,608699531.1186179,1149808286.432432,15,15,7,July,2024
15:12:44,2024-07-15,OrangeX,SOL,orangex,21123745.450320363,421169.2297821851,473778.1641350957,894947.393917281,15,15,7,July,2024
15:12:47,2024-07-15,OrangeX,USDT,orangex,3291641383.994182,65629368.12869851,73827239.37701198,139456607.5057105,15,15,7,July,2024
15:12:49,2024-07-15,OrangeX,TONCOIN,orangex,437208765.86124873,8717151.01873703,9806024.54809319,18523175.56683022,15,15,7,July,2024
15:12:52,2024-07-15,OrangeX,USDC,orangex,3297291857.08879,65742028.32936027,73953972.146802,139696000.47616228,15,15,7,July,2024
15:12:55,2024-07-15,OrangeX,XRP,orangex,6167775950.363736,122974282.78489235,138335200.70729733,261309483.49218974,15,15,7,July,2024
15:13:05,2024-07-15,OrangeX,BTC,orangex,51781.91681427591,1030.293975897736,1156.8852753209558,2187.1792512186917,15,15,7,July,2024
15:13:08,2024-07-15,OrangeX,ETH,orangex,968950.1704489585,19278.999020820742,21647.792389235936,40926.791410056685,15,15,7,July,2024
15:13:11,2024-07-15,OrangeX,BNB,orangex,5689550.583854335,113203.79879206172,127113.04831110795,240316.8471031697,15,15,7,July,2024
15:13:13,2024-07-15,OrangeX,ADA,orangex,7518608993.399365,149596191.67466363,167976941.96135694,317573133.6360206,15,15,7,July,2024
15:13:17,2024-07-15,OrangeX,DOGE,orangex,27137238271.318336,539943957.92109,606286389.1571739,1146230347.078264,15,15,7,July,2024
15:13:19,2024-07-15,OrangeX,SOL,orangex,21116610.947831616,420152.7944390237,471776.5925477028,891929.3869867265,15,15,7,July,2024
15:13:22,2024-07-15,OrangeX,USDT,orangex,3290642761.3015475,65473231.243262626,73517868.61319348,138991099.85645613,15,15,7,July,2024
15:13:24,2024-07-15,OrangeX,TONCOIN,orangex,437086260.32689685,8696613.966177462,9765159.146790843,18461773.112968307,15,15,7,July,2024
15:13:27,2024-07-15,OrangeX,USDC,orangex,3296184393.267399,65583491.9362288,73641676.93889791,139225168.87512672,15,15,7,July,2024
15:13:30,2024-07-15,OrangeX,XRP,orangex,6166563507.985966,122694825.2428765,137770228.69407776,260465053.9369543,15,15,7,July,2024
15:13:41,2024-07-15,OrangeX,BTC,orangex,51766.40575226247,1021.4683856014015,1169.208917095702,2190.6773026971036,15,15,7,July,2024
15:13:44,2024-07-15,OrangeX,ETH,orangex,969900.5581128526,19001.10591461588,21737.78363379106,40738.88954840694,15,15,7,July,2024
15:13:46,2024-07-15,OrangeX,BNB,orangex,5692298.217176274,111516.54715262119,127577.97280243953,239094.51995506074,15,15,7,July,2024
15:13:49,2024-07-15,OrangeX,ADA,orangex,7520438072.4094305,147331228.0757906,168550945.02413875,315882173.09992933,15,15,7,July,2024
15:13:51,2024-07-15,OrangeX,DOGE,orangex,27164119256.640835,532166213.0775194,608812668.5402418,1140978881.6177614,15,15,7,July,2024
15:13:54,2024-07-15,OrangeX,SOL,orangex,21115092.888604708,413661.0841362646,473239.567479951,886900.6516162156,15,15,7,July,2024
15:13:56,2024-07-15,OrangeX,USDT,orangex,3290298926.577412,64459513.78385528,73743442.62219985,138202956.40605515,15,15,7,July,2024
15:13:59,2024-07-15,OrangeX,TONCOIN,orangex,437096948.05196774,8563069.002713606,9796384.59248988,18359453.595203485,15,15,7,July,2024
15:14:02,2024-07-15,OrangeX,USDC,orangex,3295857972.3631535,64568419.81228833,73868034.09035604,138436453.90264437,15,15,7,July,2024
15:14:04,2024-07-15,OrangeX,XRP,orangex,6165627924.753931,120789444.08106151,138186419.91044864,258975863.99151018,15,15,7,July,2024
15:14:15,2024-07-15,OrangeX,BTC,orangex,51811.61595952717,1015.8164442649212,1160.1843624357505,2176.000806700672,15,15,7,July,2024
15:14:18,2024-07-15,OrangeX,ETH,orangex,969813.3198188037,19014.120673415233,21716.40909665126,40730.529770066496,15,15,7,July,2024
15:14:21,2024-07-15,OrangeX,BNB,orangex,5691786.227432381,111592.93027229441,127452.52687259528,239045.45714488972,15,15,7,July,2024
15:14:24,2024-07-15,OrangeX,ADA,orangex,7519809513.7215605,147433080.7930252,168386282.58825994,315819363.38128513,15,15,7,July,2024
15:14:26,2024-07-15,OrangeX,DOGE,orangex,27162598961.67414,532548815.2269874,608234697.46755,1140783512.6945374,15,15,7,July,2024
15:14:29,2024-07-15,OrangeX,SOL,orangex,21109673.777717244,413387.8688970291,472637.93452017626,886025.8034172053,15,15,7,July,2024
15:14:32,2024-07-15,OrangeX,USDT,orangex,3289464896.2632685,64417143.41949002,73649925.17731942,138067068.59680945,15,15,7,July,2024
15:14:34,2024-07-15,OrangeX,TONCOIN,orangex,436986380.64785045,8557444.82530679,9783966.46663774,18341411.29194453,15,15,7,July,2024
15:14:37,2024-07-15,OrangeX,USDC,orangex,3294964625.422041,64524843.867180295,73773062.11716008,138297905.98434037,15,15,7,July,2024
15:14:39,2024-07-15,OrangeX,XRP,orangex,6164835565.250918,120725135.93790245,138028430.8937247,258753566.83162716,15,15,7,July,2024
