Time,Date,Name,Coin_Name,Code,Volume,Bid_Total,Ask_Total,Depth,Hour,Day,Month_Number,Month_Name,Year
14:50:27,2024-07-15,CoinDCX,BTC,coindcx,148495.11620470343,1713.4280359734641,2115.043007022418,3828.471042995882,14,15,7,July,2024
14:57:12,2024-07-15,CoinDCX,BTC,coindcx,149157.73605782815,1716.870995074564,2104.033546231763,3820.904541306327,14,15,7,July,2024
14:59:24,2024-07-15,CoinDCX,BTC,coindcx,149250.9514429282,1719.9054652465936,2104.282425585768,3824.187890832362,14,15,7,July,2024
15:01:46,2024-07-15,CoinDCX,ETH,coindcx,2791166.989646417,32126.396126096646,39329.26995720653,71455.66608330318,15,15,7,July,2024
15:02:34,2024-07-15,CoinDCX,BNB,coindcx,16379292.638225194,188043.80874155252,230659.37868850096,418703.1874300535,15,15,7,July,2024
15:02:57,2024-07-15,CoinDCX,ADA,coindcx,21734057968.1362,275771638.69027495,287245475.49108326,563017114.1813583,15,15,7,July,2024
15:03:19,2024-07-15,CoinDCX,DOGE,coindcx,78390685910.17207,995004681.7205596,1036524522.908882,2031529204.6294417,15,15,7,July,2024
15:03:53,2024-07-15,CoinDCX,SOL,coindcx,60912757.08600881,773683.2254685187,806055.6141897325,1579738.8396582513,15,15,7,July,2024
15:04:29,2024-07-15,CoinDCX,USDT,coindcx,9484613524.94469,120556904.84185135,124708311.67673104,245265216.5185824,15,15,7,July,2024
15:04:55,2024-07-15,CoinDCX,TONCOIN,coindcx,1262049526.9773834,16029933.278120715,16572728.855316758,32602662.133437473,15,15,7,July,2024
15:05:16,2024-07-15,CoinDCX,USDC,coindcx,9505367110.471798,120666987.22641322,124928924.1734046,245595911.39981782,15,15,7,July,2024
15:06:50,2024-07-15,CoinDCX,XRP,coindcx,17790990546.93868,225582857.85306332,234455587.6053583,460038445.45842165,15,15,7,July,2024
15:10:46,2024-07-15,CoinDCX,BTC,coindcx,149936.90420336617,1899.4580314175007,1973.137552075502,3872.595583493003,15,15,7,July,2024
15:10:48,2024-07-15,CoinDCX,ETH,coindcx,2805792.8007605034,35544.856006025846,36923.63243017629,72468.48843620214,15,15,7,July,2024
15:10:51,2024-07-15,CoinDCX,BNB,coindcx,16466059.54259655,208598.33814870522,216689.81756580115,425288.15571450634,15,15,7,July,2024
15:10:54,2024-07-15,CoinDCX,ADA,coindcx,21761959025.401653,275688817.70502585,286382720.704356,562071538.4093819,15,15,7,July,2024
